date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,선약,스페셜,100000.0,1496000.0,0.0,390000.0,1106000.0,46083.0,89645.0,43562,1548400.0,64517.0,108079.0,0.4,442400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 베이직,90000.0,1496000.0,0.0,390000.0,1106000.0,46083.0,88309.0,42226,1548400.0,64517.0,106743.0,0.4,442400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,선약,5G 심플 30GB,61000.0,1496000.0,0.0,230000.0,1266000.0,52750.0,91103.0,38353,1772400.0,73850.0,112203.0,0.4,506400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,선약,5G 슬림 4GB,37000.0,1496000.0,0.0,140000.0,1356000.0,56500.0,68901.0,12401,1898400.0,79100.0,91501.0,0.4,542400.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1496000.0,600000.0,280000.0,616000.0,25667.0,90377.0,64710,1016000.0,42333.0,107043.0,0.6493506493506493,400000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,공시,스페셜,100000.0,1496000.0,600000.0,280000.0,616000.0,25667.0,87801.0,62134,1016000.0,42333.0,104467.0,0.6493506493506493,400000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 베이직,90000.0,1496000.0,600000.0,280000.0,616000.0,25667.0,85226.0,59559,1016000.0,42333.0,101892.0,0.6493506493506493,400000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,공시,5G 심플 30GB,61000.0,1496000.0,377000.0,180000.0,939000.0,39125.0,91215.0,52090,1339014.0,55792.0,107882.0,0.426,400014.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,공시,5G 슬림 4GB,37000.0,1496000.0,196000.0,90000.0,1210000.0,50417.0,68930.0,18513,1694000.0,70583.0,89096.0,0.4,484000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1496000.0,0.0,280000.0,1216000.0,50667.0,95564.0,44897,1702400.0,70933.0,115830.0,0.4,486400.0
